#Table1
apogee_id,apstar_id,ra,dec,nvisits,starSNR,vscatter,verr,visit_id,vhelio,vrelerr,visitSNR,starflag,mjd
2M00005196+0022164,apogee.apo25m.stars.100-60.2M00005196+0022164,0.216528,0.371225,10,403.6619,4.66468,0.129616,apogee.apo25m.dr17.7063.56644.22,8.293675,0.116923,137.234,8389120,56644
2M00005196+0022164,apogee.apo25m.stars.100-60.2M00005196+0022164,0.216528,0.371225,10,403.6619,4.66468,0.129616,apogee.apo25m.dr17.7063.56666.28,14.65438,0.1341961,132.065,9437696,56666
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.7546.56934.57,-1.190352,0.2999288,257.251,1179648,56934
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.7546.56991.52,-10.29699,0.3327727,229.071,1179648,56991
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.7545.56971.105,-4.617564,0.3412033,224.437,1179648,56971
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.6531.56559.22,-0.3544481,0.3611029,212.648,1180164,56559
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.7545.56936.105,1.59235,0.3289824,235.123,1179648,56936
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.6531.56487.27,-21.99991,0.6205756,116.911,1180160,56487
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.7546.56937.51,-19.02236,0.458921,165.964,1179648,56937
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.6531.56254.21,-11.95165,0.3237752,223.837,1180160,56254
2M00013842+7350554,apogee.apo25m.stars.120+12.2M00013842+7350554,0.410087,73.848724,9,839.1688,8.990286,0.3515668,apogee.apo25m.dr17.7545.56933.106,2.220701,0.3208731,243.659,1179648,56933
2M00020962+0055374,apogee.apo25m.stars.100-60.2M00020962+0055374,0.540108,0.927061,9,193.6493,0.5852777,0.03973144,apogee.apo25m.dr17.9243.58033.240,-1.860098,0.05056955,35.5988,0,58033
